20151107214424,Azimuth,Pitch,Roll,
20151107214429,67.07,1.56,-1.11,
20151107214429,66.56,1.37,-0.550003,
20151107214429,67.89,1.57001,-0.550003,
20151107214430,68.11,1.52,-0.820007,
20151107214430,68.59,1.19,-0.929993,
20151107214430,70.43,1.98,0.320007,
20151107214430,71.31,1.77,-1.38,
20151107214431,71.35,1.61,-0.460007,
20151107214431,71.28,1.08,-0.570007,
20151107214431,71.94,1.45,-0.729996,
20151107214431,73.02,1.67,-0.600006,
20151107214431,73.88,1.92999,-0.199997,
20151107214432,74.13,2.09,-0.339996,
20151107214432,73.69,1.16,-0.600006,
20151107214432,75.36,1.44,-0.440002,
20151107214432,76.13,1.08,-0.389999,
20151107214433,77.94,1.25,-0.899994,
20151107214433,80.05,1.23,-0.679993,
20151107214435,66.23,0.0299988,-2.44,
20151107214435,65.98,-1.53,0.449997,
20151107214435,68.35,1.31,-0.330002,
20151107214436,67.57,1.61,-0.330002,
20151107214436,66.22,1.89,-1.39,
20151107214436,65.91,1.19,-0.910004,
20151107214437,65.99,1.23,-0.369995,
20151107214437,65.56,1.24001,-0.979996,
20151107214437,65.63,1.75999,-1.63,
20151107214438,64.75,2.52,-1.19,
20151107214438,59.18,1.41,-2.25999,
20151107214440,75.52,0.639999,2.41,
20151107214440,72.3,-1,-1.17,
20151107214440,73.27,1.02,0.0700073,
20151107214441,74.17,2.11,-1.52,
20151107214441,73.01,1.41,-1.28999,
20151107214441,73.69,1.67,0,
20151107214441,72.09,1.82001,-0.809998,
20151107214442,59.35,0.929993,-0.600006,
20151107214444,63.33,0.720001,0.0700073,
20151107214444,62.25,-1.67999,-1.28999,
20151107214444,61.53,-0.929993,-1.03,
20151107214444,61.73,1.11,-0.619995,
20151107214445,61.08,1.36,-0.320007,
20151107214445,59.52,1.74001,-1.16,
20151107214445,57.51,1.47,-0.550003,
20151107214447,71.27,0.789993,0.160004,
20151107214447,69.65,-1.19,-1.64,
20151107214448,70.43,1.03,-0.0599976,
20151107214448,69.73,1.03999,-0.720001,
20151107214449,69.04,1.25999,-0.889999,
20151107214449,69.18,0.990005,-0.699997,
20151107214449,68.98,1.27,0.0700073,
20151107214449,67.56,0.860001,-0.440002,
20151107214450,67.81,1.69,-0.679993,
20151107214450,67.24,1.66,-0.380005,
20151107214450,67.09,1.00999,-0.910004,
20151107214450,68.15,1.47,-0.75,
20151107214451,67.54,1.67,-0.369995,
20151107214451,67.16,1.42999,-0.300003,
20151107214451,66.43,1.34,-0.5,
20151107214451,66.94,1.33,-0.449997,
20151107214452,68.14,1.42999,-0.0299988,
20151107214452,67.1,1.13,-0.270004,
20151107214452,67.42,1.27,-0.600006,
20151107214453,68.05,1.42999,-0.110001,
20151107214453,68.88,1.66,-0.770004,
20151107214453,69.42,1.46001,-0.190002,
20151107214453,69.12,1.00999,0.0899963,
20151107214454,69.06,1.41,0.100006,
20151107214454,70.24,1.62,-0.720001,
20151107214454,70.8,1.21001,-0.119995,
20151107214455,70.51,1.39,-0.429993,
20151107214455,69.62,1.57001,-0.169998,
20151107214455,69.97,1.69,-0.220001,
20151107214456,68.75,1.45,-0.350006,
20151107214456,68.59,1.23,-0.570007,
20151107214456,68.83,1.23,-0.119995,
20151107214456,68.95,1.27,-0.139999,
20151107214457,69.49,1.05,-0.130005,
20151107214457,68.92,1.62,-0.690002,
20151107214457,68.26,1.34,-0.339996,
